"BehaviorSpace results (NetLogo 5.0.5)"
"Simple Birth Rates behaviorspace.nlogo"
"blue_fertility_effect_on_red_extinction"
"03/10/2019 16:25:59:194 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","carrying-capacity","blue-fertility","red-fertility","[step]","ticks"
"2","1000","2.1","2","134","134"
"4","1000","2.1","2","168","168"
"3","1000","2.1","2","180","180"
"5","1000","2.1","2","108","108"
"6","1000","2.1","2","195","195"
"7","1000","2.1","2","220","220"
"8","1000","2.1","2","152","152"
"11","1000","2.2","2","68","68"
"9","1000","2.1","2","175","175"
"12","1000","2.2","2","123","123"
"10","1000","2.1","2","217","217"
"13","1000","2.2","2","99","99"
"14","1000","2.2","2","85","85"
"15","1000","2.2","2","89","89"
"16","1000","2.2","2","87","87"
"18","1000","2.2","2","72","72"
"17","1000","2.2","2","95","95"
"19","1000","2.2","2","76","76"
"20","1000","2.2","2","81","81"
"22","1000","2.3","2","76","76"
"21","1000","2.3","2","104","104"
"23","1000","2.3","2","67","67"
"24","1000","2.3","2","70","70"
"25","1000","2.3","2","63","63"
"26","1000","2.3","2","57","57"
"27","1000","2.3","2","65","65"
"28","1000","2.3","2","59","59"
"29","1000","2.3","2","62","62"
"1","1000","2.1","2","203","203"
"31","1000","2.4","2","42","42"
"30","1000","2.3","2","73","73"
"34","1000","2.4","2","39","39"
"32","1000","2.4","2","64","64"
"35","1000","2.4","2","48","48"
"36","1000","2.4","2","40","40"
"37","1000","2.4","2","53","53"
"39","1000","2.4","2","46","46"
"38","1000","2.4","2","67","67"
"41","1000","2.5","2","38","38"
"33","1000","2.4","2","34","34"
"40","1000","2.4","2","53","53"
"42","1000","2.5","2","38","38"
"46","1000","2.5","2","32","32"
"43","1000","2.5","2","49","49"
"45","1000","2.5","2","50","50"
"48","1000","2.5","2","32","32"
"49","1000","2.5","2","35","35"
"47","1000","2.5","2","44","44"
"50","1000","2.5","2","29","29"
"51","1000","2.6","2","36","36"
"52","1000","2.6","2","32","32"
"53","1000","2.6","2","31","31"
"54","1000","2.6","2","27","27"
"55","1000","2.6","2","35","35"
"56","1000","2.6","2","29","29"
"58","1000","2.6","2","31","31"
"57","1000","2.6","2","47","47"
"59","1000","2.6","2","41","41"
"60","1000","2.6","2","33","33"
"61","1000","2.7","2","32","32"
"44","1000","2.5","2","49","49"
"62","1000","2.7","2","27","27"
"63","1000","2.7","2","36","36"
"66","1000","2.7","2","29","29"
"64","1000","2.7","2","44","44"
"67","1000","2.7","2","39","39"
"68","1000","2.7","2","30","30"
"69","1000","2.7","2","27","27"
"72","1000","2.8","2","22","22"
"70","1000","2.7","2","26","26"
"71","1000","2.8","2","27","27"
"73","1000","2.8","2","26","26"
"75","1000","2.8","2","30","30"
"65","1000","2.7","2","28","28"
"74","1000","2.8","2","44","44"
"76","1000","2.8","2","31","31"
"77","1000","2.8","2","26","26"
"79","1000","2.8","2","28","28"
"81","1000","2.9","2","26","26"
"82","1000","2.9","2","19","19"
"80","1000","2.8","2","36","36"
"83","1000","2.9","2","25","25"
"84","1000","2.9","2","24","24"
"85","1000","2.9","2","22","22"
"88","1000","2.9","2","23","23"
"86","1000","2.9","2","30","30"
"78","1000","2.8","2","22","22"
"87","1000","2.9","2","33","33"
"90","1000","2.9","2","27","27"
"89","1000","2.9","2","32","32"
"92","1000","3","2","27","27"
"93","1000","3","2","24","24"
"95","1000","3","2","20","20"
"94","1000","3","2","26","26"
"97","1000","3","2","25","25"
"96","1000","3","2","29","29"
"98","1000","3","2","28","28"
"99","1000","3","2","20","20"
"100","1000","3","2","22","22"
"101","1000","3.1","2","22","22"
"91","1000","3","2","24","24"
"103","1000","3.1","2","17","17"
"102","1000","3.1","2","20","20"
"104","1000","3.1","2","28","28"
"106","1000","3.1","2","19","19"
"107","1000","3.1","2","20","20"
"109","1000","3.1","2","22","22"
"110","1000","3.1","2","18","18"
"108","1000","3.1","2","31","31"
"112","1000","3.2","2","22","22"
"111","1000","3.2","2","25","25"
"113","1000","3.2","2","19","19"
"105","1000","3.1","2","18","18"
"115","1000","3.2","2","19","19"
"114","1000","3.2","2","21","21"
"116","1000","3.2","2","16","16"
"118","1000","3.2","2","15","15"
"120","1000","3.2","2","17","17"
"119","1000","3.2","2","18","18"
"121","1000","3.3","2","15","15"
"123","1000","3.3","2","18","18"
"122","1000","3.3","2","22","22"
"124","1000","3.3","2","20","20"
"125","1000","3.3","2","24","24"
"126","1000","3.3","2","19","19"
"127","1000","3.3","2","15","15"
"129","1000","3.3","2","16","16"
"128","1000","3.3","2","18","18"
"117","1000","3.2","2","22","22"
"130","1000","3.3","2","19","19"
"131","1000","3.4","2","18","18"
"132","1000","3.4","2","18","18"
"134","1000","3.4","2","18","18"
"135","1000","3.4","2","16","16"
"136","1000","3.4","2","19","19"
"137","1000","3.4","2","19","19"
"140","1000","3.4","2","17","17"
"138","1000","3.4","2","26","26"
"139","1000","3.4","2","31","31"
"141","1000","3.5","2","19","19"
"133","1000","3.4","2","19","19"
"142","1000","3.5","2","21","21"
"143","1000","3.5","2","15","15"
"144","1000","3.5","2","15","15"
"146","1000","3.5","2","16","16"
"147","1000","3.5","2","17","17"
"148","1000","3.5","2","18","18"
"149","1000","3.5","2","20","20"
"151","1000","3.6","2","16","16"
"150","1000","3.5","2","25","25"
"152","1000","3.6","2","22","22"
"153","1000","3.6","2","18","18"
"154","1000","3.6","2","19","19"
"145","1000","3.5","2","19","19"
"155","1000","3.6","2","18","18"
"156","1000","3.6","2","15","15"
"157","1000","3.6","2","13","13"
"161","1000","3.7","2","12","12"
"159","1000","3.6","2","17","17"
"160","1000","3.6","2","16","16"
"162","1000","3.7","2","16","16"
"163","1000","3.7","2","16","16"
"164","1000","3.7","2","18","18"
"165","1000","3.7","2","14","14"
"158","1000","3.6","2","14","14"
"166","1000","3.7","2","16","16"
"167","1000","3.7","2","19","19"
"168","1000","3.7","2","16","16"
"170","1000","3.7","2","14","14"
"171","1000","3.8","2","13","13"
"173","1000","3.8","2","14","14"
"172","1000","3.8","2","16","16"
"174","1000","3.8","2","12","12"
"176","1000","3.8","2","17","17"
"175","1000","3.8","2","17","17"
"177","1000","3.8","2","19","19"
"169","1000","3.7","2","14","14"
"179","1000","3.8","2","11","11"
"178","1000","3.8","2","19","19"
"180","1000","3.8","2","14","14"
"182","1000","3.9","2","16","16"
"184","1000","3.9","2","11","11"
"183","1000","3.9","2","15","15"
"185","1000","3.9","2","13","13"
"186","1000","3.9","2","12","12"
"187","1000","3.9","2","12","12"
"188","1000","3.9","2","12","12"
"190","1000","3.9","2","11","11"
"189","1000","3.9","2","18","18"
"191","1000","4","2","11","11"
"181","1000","3.9","2","16","16"
"192","1000","4","2","13","13"
"194","1000","4","2","14","14"
"196","1000","4","2","12","12"
"193","1000","4","2","19","19"
"197","1000","4","2","15","15"
"199","1000","4","2","14","14"
"198","1000","4","2","15","15"
"201","1000","4.1","2","12","12"
"200","1000","4","2","15","15"
"202","1000","4.1","2","12","12"
"195","1000","4","2","12","12"
"204","1000","4.1","2","11","11"
"203","1000","4.1","2","14","14"
"205","1000","4.1","2","17","17"
"207","1000","4.1","2","14","14"
"208","1000","4.1","2","12","12"
"209","1000","4.1","2","12","12"
"210","1000","4.1","2","11","11"
"211","1000","4.2","2","12","12"
"212","1000","4.2","2","13","13"
"213","1000","4.2","2","11","11"
"214","1000","4.2","2","10","10"
"206","1000","4.1","2","13","13"
"215","1000","4.2","2","14","14"
"216","1000","4.2","2","10","10"
"217","1000","4.2","2","15","15"
"220","1000","4.2","2","11","11"
"219","1000","4.2","2","15","15"
"221","1000","4.3","2","18","18"
"223","1000","4.3","2","12","12"
"222","1000","4.3","2","15","15"
"218","1000","4.2","2","11","11"
"224","1000","4.3","2","12","12"
"225","1000","4.3","2","15","15"
"226","1000","4.3","2","17","17"
"228","1000","4.3","2","17","17"
"230","1000","4.3","2","9","9"
"229","1000","4.3","2","13","13"
"233","1000","4.4","2","10","10"
"231","1000","4.4","2","12","12"
"232","1000","4.4","2","14","14"
"234","1000","4.4","2","11","11"
"227","1000","4.3","2","13","13"
"236","1000","4.4","2","11","11"
"235","1000","4.4","2","14","14"
"237","1000","4.4","2","10","10"
"239","1000","4.4","2","10","10"
"240","1000","4.4","2","17","17"
"241","1000","4.5","2","11","11"
"244","1000","4.5","2","12","12"
"242","1000","4.5","2","20","20"
"243","1000","4.5","2","14","14"
"238","1000","4.4","2","10","10"
"247","1000","4.5","2","11","11"
"245","1000","4.5","2","12","12"
"246","1000","4.5","2","12","12"
"249","1000","4.5","2","9","9"
"251","1000","4.6","2","10","10"
"250","1000","4.5","2","14","14"
"252","1000","4.6","2","11","11"
"253","1000","4.6","2","12","12"
"254","1000","4.6","2","11","11"
"248","1000","4.5","2","10","10"
"257","1000","4.6","2","11","11"
"255","1000","4.6","2","15","15"
"256","1000","4.6","2","15","15"
"259","1000","4.6","2","10","10"
"260","1000","4.6","2","15","15"
"261","1000","4.7","2","14","14"
"262","1000","4.7","2","12","12"
"263","1000","4.7","2","11","11"
"264","1000","4.7","2","11","11"
"258","1000","4.6","2","12","12"
"265","1000","4.7","2","12","12"
"266","1000","4.7","2","10","10"
"267","1000","4.7","2","9","9"
"270","1000","4.7","2","9","9"
"269","1000","4.7","2","13","13"
"271","1000","4.8","2","10","10"
"273","1000","4.8","2","10","10"
"274","1000","4.8","2","11","11"
"272","1000","4.8","2","13","13"
"268","1000","4.7","2","12","12"
"275","1000","4.8","2","10","10"
"277","1000","4.8","2","8","8"
"276","1000","4.8","2","12","12"
"280","1000","4.8","2","13","13"
"279","1000","4.8","2","14","14"
"281","1000","4.9","2","13","13"
"284","1000","4.9","2","11","11"
"282","1000","4.9","2","14","14"
"278","1000","4.8","2","10","10"
"283","1000","4.9","2","16","16"
"285","1000","4.9","2","11","11"
"286","1000","4.9","2","9","9"
"288","1000","4.9","2","12","12"
"289","1000","4.9","2","11","11"
"290","1000","4.9","2","16","16"
"291","1000","5","2","12","12"
"292","1000","5","2","9","9"
"287","1000","4.9","2","10","10"
"294","1000","5","2","10","10"
"293","1000","5","2","12","12"
"295","1000","5","2","13","13"
"298","1000","5","2","11","11"
"297","1000","5","2","11","11"
"299","1000","5","2","10","10"
"300","1000","5","2","12","12"
"296","1000","5","2","12","12"
