"BehaviorSpace results (NetLogo 6.0.4)"
"Business-investor.nlogo"
"network-size-effect"
"03/25/2019 11:49:23:995 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","number-of-links","n_turtles","sensing-radius","[step]","mean [W] of turtles"
"1","0","10","0","24","57118.8"
"5","0","10","0","24","52173.9"
"6","0","10","0","24","73988.4"
"4","0","10","0","24","99277.2"
"8","0","10","0","24","66209.4"
"7","0","10","0","24","94548.6"
"2","0","10","0","24","47228.2"
"3","0","10","0","24","62426.5"
"9","0","10","0","24","96315.9"
"10","0","10","0","24","62029.2"
"13","0","10","1","24","129255.8"
"11","0","10","1","24","142446.7"
"12","0","10","1","24","165756.1"
"14","0","10","1","24","171209.5"
"15","0","10","1","24","150174.8"
"16","0","10","1","24","117272.1"
"17","0","10","1","24","127777.2"
"18","0","10","1","24","141271.2"
"19","0","10","1","24","128989.5"
"20","0","10","1","24","146672.1"
"23","0","10","2","24","151575.7"
"22","0","10","2","24","155416.1"
"24","0","10","2","24","191371.5"
"21","0","10","2","24","192215.6"
"25","0","10","2","24","144006.1"
"26","0","10","2","24","197285.8"
"27","0","10","2","24","188365.1"
"29","0","10","2","24","145883.5"
"30","0","10","2","24","165595.2"
"28","0","10","2","24","159953.5"
"31","0","10","3","24","156089.1"
"32","0","10","3","24","193275.5"
"34","0","10","3","24","181713.1"
"33","0","10","3","24","187273.8"
"35","0","10","3","24","215547.2"
"36","0","10","3","24","184642.1"
"40","0","10","3","24","210621.1"
"39","0","10","3","24","215033.3"
"38","0","10","3","24","191447.5"
"37","0","10","3","24","214897.6"
"41","0","10","4","24","178338.9"
"42","0","10","4","24","195357.4"
"44","0","10","4","24","164915.6"
"43","0","10","4","24","216494.9"
"45","0","10","4","24","156823.2"
"47","0","10","4","24","223519.2"
"46","0","10","4","24","177903.5"
"48","0","10","4","24","212519.1"
"50","0","10","4","24","225229.5"
"49","0","10","4","24","205903.8"
"51","0","10","5","24","187741.3"
"52","0","10","5","24","171703.9"
"54","0","10","5","24","234657.9"
"53","0","10","5","24","210270.7"
"55","0","10","5","24","188265.5"
"56","0","10","5","24","236718.7"
"57","0","10","5","24","204710.6"
"58","0","10","5","24","155685.7"
"61","0","10","6","24","203905.2"
"59","0","10","5","24","189013.5"
"60","0","10","5","24","195414.3"
"62","0","10","6","24","198542.5"
"63","0","10","6","24","173262.7"
"66","0","10","6","24","191077.8"
"64","0","10","6","24","184339.1"
"65","0","10","6","24","201468.8"
"68","0","10","6","24","212079"
"67","0","10","6","24","216259.9"
"70","0","10","6","24","217980.6"
"69","0","10","6","24","223830.4"
"72","0","10","7","24","204001.6"
"71","0","10","7","24","178343.8"
"73","0","10","7","24","182497.7"
"75","0","10","7","24","215211.7"
"74","0","10","7","24","181092.7"
"76","0","10","7","24","206048.9"
"77","0","10","7","24","182350.2"
"80","0","10","7","24","216347.6"
"78","0","10","7","24","209645.5"
"79","0","10","7","24","188586.8"
"81","0","10","8","24","214680"
"82","0","10","8","24","199989.8"
"83","0","10","8","24","188476.2"
"84","0","10","8","24","223924.3"
"85","0","10","8","24","220945.8"
"87","0","10","8","24","193842.5"
"88","0","10","8","24","203373.9"
"86","0","10","8","24","203160.1"
"89","0","10","8","24","231009.7"
"90","0","10","8","24","211896"
"92","0","10","9","24","191777.8"
"94","0","10","9","24","216728.2"
"93","0","10","9","24","198451.7"
"91","0","10","9","24","196212.8"
"95","0","10","9","24","192516.1"
"96","0","10","9","24","234799.3"
"98","0","10","9","24","177930.5"
"100","0","10","9","24","208413.1"
"99","0","10","9","24","214885.3"
"97","0","10","9","24","180830.8"
"103","0","10","10","24","205005.3"
"104","0","10","10","24","188435.7"
"102","0","10","10","24","125693.5"
"101","0","10","10","24","188290.3"
"105","0","10","10","24","183488"
"106","0","10","10","24","195810.7"
"108","0","10","10","24","229010.2"
"107","0","10","10","24","194895"
"109","0","10","10","24","180258.8"
"111","1","10","0","24","130301.9"
"114","1","10","0","24","159470.8"
"113","1","10","0","24","173421.5"
"116","1","10","0","24","80056.6"
"115","1","10","0","24","100362.3"
"112","1","10","0","24","157035"
"117","1","10","0","24","173165.7"
"119","1","10","0","24","141830.5"
"120","1","10","0","24","161442.5"
"121","1","10","1","24","192283.6"
"118","1","10","0","24","100172.4"
"123","1","10","1","24","180402"
"124","1","10","1","24","100697.5"
"122","1","10","1","24","157019.8"
"125","1","10","1","24","141956.1"
"126","1","10","1","24","185579.1"
"127","1","10","1","24","148227.3"
"128","1","10","1","24","174438.7"
"129","1","10","1","24","177303"
"130","1","10","1","24","185921"
"131","1","10","2","24","156002"
"133","1","10","2","24","139489"
"110","0","10","10","24","198957.3"
"135","1","10","2","24","167511.6"
"132","1","10","2","24","154782.3"
"136","1","10","2","24","150681.2"
"134","1","10","2","24","164485.8"
"137","1","10","2","24","178393.5"
"138","1","10","2","24","181698.4"
"140","1","10","2","24","204676.3"
"139","1","10","2","24","143628.2"
"142","1","10","3","24","183624.7"
"141","1","10","3","24","176809.1"
"144","1","10","3","24","189780.6"
"145","1","10","3","24","165634.2"
"143","1","10","3","24","185844.6"
"148","1","10","3","24","217852.7"
"147","1","10","3","24","138594.9"
"146","1","10","3","24","162198.3"
"150","1","10","3","24","198872.1"
"149","1","10","3","24","177786.1"
"152","1","10","4","24","215968.5"
"151","1","10","4","24","168890.5"
"153","1","10","4","24","225663.7"
"154","1","10","4","24","235600"
"155","1","10","4","24","200286.1"
"157","1","10","4","24","154921.6"
"156","1","10","4","24","189022.8"
"159","1","10","4","24","179029.7"
"160","1","10","4","24","194875.9"
"158","1","10","4","24","183194.1"
"161","1","10","5","24","172223.1"
"162","1","10","5","24","225261.1"
"164","1","10","5","24","226427.4"
"163","1","10","5","24","167128"
"165","1","10","5","24","173767.9"
"168","1","10","5","24","179675.4"
"166","1","10","5","24","235712.4"
"167","1","10","5","24","168393.2"
"169","1","10","5","24","206611.8"
"170","1","10","5","24","162719.9"
"171","1","10","6","24","219701"
"172","1","10","6","24","155439.5"
"175","1","10","6","24","223276.9"
"173","1","10","6","24","172805.7"
"177","1","10","6","24","195384.8"
"174","1","10","6","24","213139.1"
"179","1","10","6","24","210229.7"
"176","1","10","6","24","199136.5"
"178","1","10","6","24","187533.2"
"180","1","10","6","24","197106"
"181","1","10","7","24","190630.8"
"182","1","10","7","24","174996.3"
"183","1","10","7","24","236269.1"
"185","1","10","7","24","212141.7"
"184","1","10","7","24","200064.2"
"188","1","10","7","24","183044.7"
"187","1","10","7","24","182348.6"
"186","1","10","7","24","199844.5"
"190","1","10","7","24","179866"
"189","1","10","7","24","167300.3"
"192","1","10","8","24","215602.3"
"191","1","10","8","24","157261"
"193","1","10","8","24","149367.1"
"194","1","10","8","24","204199.9"
"197","1","10","8","24","183495.2"
"195","1","10","8","24","203917.7"
"198","1","10","8","24","204999"
"199","1","10","8","24","169333.8"
"196","1","10","8","24","177972"
"200","1","10","8","24","166733"
"201","1","10","9","24","216383.7"
"204","1","10","9","24","191803.4"
"203","1","10","9","24","218309.7"
"202","1","10","9","24","189344.6"
"205","1","10","9","24","195670.7"
"207","1","10","9","24","179909.2"
"206","1","10","9","24","197138.9"
"209","1","10","9","24","220448.1"
"208","1","10","9","24","204519.3"
"210","1","10","9","24","235145.2"
"211","1","10","10","24","219381.4"
"212","1","10","10","24","212444.1"
"213","1","10","10","24","208892.8"
"214","1","10","10","24","241072"
"217","1","10","10","24","213903.5"
"218","1","10","10","24","199944.2"
"216","1","10","10","24","198836.9"
"221","2","10","0","24","141774.2"
"222","2","10","0","24","153748.8"
"215","1","10","10","24","202578.4"
"223","2","10","0","24","149977"
"224","2","10","0","24","146085.3"
"226","2","10","0","24","162890.6"
"225","2","10","0","24","158393.8"
"227","2","10","0","24","199927.5"
"228","2","10","0","24","134287.4"
"229","2","10","0","24","131600.4"
"230","2","10","0","24","103112.3"
"232","2","10","1","24","93898.8"
"231","2","10","1","24","168189.6"
"233","2","10","1","24","161282.1"
"235","2","10","1","24","140677.1"
"220","1","10","10","24","198863.6"
"234","2","10","1","24","104263"
"236","2","10","1","24","163219.2"
"237","2","10","1","24","156300.8"
"240","2","10","1","24","165150.9"
"238","2","10","1","24","159303.1"
"219","1","10","10","24","196318"
"239","2","10","1","24","180705.9"
"242","2","10","2","24","158914.2"
"241","2","10","2","24","157125.4"
"245","2","10","2","24","146065.2"
"243","2","10","2","24","151465.7"
"247","2","10","2","24","163482.7"
"244","2","10","2","24","198909.1"
"246","2","10","2","24","137702.9"
"249","2","10","2","24","126197.9"
"248","2","10","2","24","181357.6"
"250","2","10","2","24","187509.8"
"252","2","10","3","24","206926.1"
"253","2","10","3","24","177695"
"255","2","10","3","24","230064.5"
"251","2","10","3","24","149396.4"
"254","2","10","3","24","225079.1"
"257","2","10","3","24","181556.8"
"256","2","10","3","24","167057.5"
"259","2","10","3","24","217268.9"
"260","2","10","3","24","170190.1"
"258","2","10","3","24","193605.8"
"262","2","10","4","24","199582.1"
"263","2","10","4","24","147933"
"261","2","10","4","24","178502.5"
"264","2","10","4","24","131629"
"266","2","10","4","24","152771"
"265","2","10","4","24","168726.1"
"267","2","10","4","24","151743.2"
"268","2","10","4","24","160870.2"
"269","2","10","4","24","201037.9"
"270","2","10","4","24","198859.9"
"272","2","10","5","24","197884"
"273","2","10","5","24","196754.5"
"271","2","10","5","24","222630.5"
"275","2","10","5","24","178505.4"
"276","2","10","5","24","167888.1"
"278","2","10","5","24","169254.1"
"274","2","10","5","24","221507.3"
"277","2","10","5","24","202078.1"
"279","2","10","5","24","170871.1"
"280","2","10","5","24","178532.4"
"283","2","10","6","24","166816.3"
"282","2","10","6","24","204828"
"281","2","10","6","24","195919.4"
"284","2","10","6","24","219388.6"
"285","2","10","6","24","163404.3"
"286","2","10","6","24","164180.2"
"288","2","10","6","24","209061"
"289","2","10","6","24","236059.6"
