"BehaviorSpace results (NetLogo 6.0.4)"
"Business-investor.nlogo"
"sensing-radius-impact"
"03/25/2019 11:13:29:309 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","n_turtles","sensing-radius","[step]","mean [W] of turtles"
"1","10","0","24","74524.2"
"5","10","0","24","49907.3"
"4","10","0","24","84346.3"
"6","10","0","24","113044.7"
"3","10","0","24","87479.5"
"7","10","0","24","95046.3"
"2","10","0","24","67164.1"
"8","10","0","24","61029.9"
"9","10","0","24","68052.2"
"10","10","0","24","46648.1"
"11","10","1","24","155287.2"
"13","10","1","24","128504.9"
"12","10","1","24","192430.8"
"14","10","1","24","170941.2"
"15","10","1","24","153771.5"
"17","10","1","24","140047.7"
"19","10","1","24","164541.8"
"16","10","1","24","157812.6"
"18","10","1","24","144763.6"
"20","10","1","24","144064.3"
"21","10","2","24","190069.6"
"22","10","2","24","132844.1"
"23","10","2","24","146568.5"
"25","10","2","24","150384.2"
"24","10","2","24","175795.8"
"26","10","2","24","126114.3"
"27","10","2","24","187794"
"28","10","2","24","151245.8"
"29","10","2","24","136347.5"
"30","10","2","24","170027.8"
"32","10","3","24","206772.1"
"31","10","3","24","151775.4"
"34","10","3","24","219820.7"
"33","10","3","24","191117.9"
"35","10","3","24","168397.1"
"37","10","3","24","156730.8"
"36","10","3","24","215434.5"
"38","10","3","24","192760.2"
"40","10","3","24","149408.8"
"39","10","3","24","182528.7"
"41","10","4","24","231842.5"
"43","10","4","24","193169.1"
"42","10","4","24","213761.3"
"45","10","4","24","166659.9"
"44","10","4","24","211272.8"
"46","10","4","24","198435.6"
"49","10","4","24","191645.3"
"47","10","4","24","184646.3"
"48","10","4","24","198311.5"
"50","10","4","24","152076.7"
"51","10","5","24","219942.2"
"54","10","5","24","148461.9"
"52","10","5","24","194079.3"
"53","10","5","24","203979.3"
"56","10","5","24","168243.9"
"55","10","5","24","182089.8"
"58","10","5","24","224102.6"
"57","10","5","24","195321.2"
"59","10","5","24","214307.4"
"60","10","5","24","185087.6"
"61","10","6","24","212467.7"
"65","10","6","24","216578"
"62","10","6","24","234930.1"
"64","10","6","24","215696"
"63","10","6","24","213206.2"
"68","10","6","24","190512.7"
"66","10","6","24","191937.6"
"70","10","6","24","172073.7"
"67","10","6","24","179876.4"
"69","10","6","24","220663.8"
"71","10","7","24","192306"
"72","10","7","24","192731.3"
"74","10","7","24","222333.1"
"75","10","7","24","199373.8"
"73","10","7","24","203850.4"
"78","10","7","24","196136.3"
"76","10","7","24","194491.2"
"77","10","7","24","194825.8"
"79","10","7","24","200822.2"
"80","10","7","24","180309.6"
"81","10","8","24","198636.5"
"82","10","8","24","207360.4"
"83","10","8","24","190262.8"
"84","10","8","24","208153.1"
"85","10","8","24","210401.9"
"86","10","8","24","210166.5"
"87","10","8","24","168595.5"
"89","10","8","24","241028.2"
"88","10","8","24","178265.3"
"90","10","8","24","182204.2"
"91","10","9","24","233409.3"
"92","10","9","24","211588.4"
"93","10","9","24","195053.6"
"95","10","9","24","212203.4"
"96","10","9","24","223018.2"
"94","10","9","24","198118"
"97","10","9","24","206077.9"
"98","10","9","24","177431.1"
"100","10","9","24","226901.5"
"99","10","9","24","215042.8"
"101","10","10","24","191131.8"
"103","10","10","24","221046.8"
"102","10","10","24","215658.3"
"105","10","10","24","210949.8"
"104","10","10","24","191079.5"
"108","10","10","24","188959.6"
"106","10","10","24","223409"
"109","10","10","24","223167.5"
"107","10","10","24","186604.9"
"110","10","10","24","234450"
